Unit,ID,Entry,Row,Range,ReplicationTOS,TRT,RepRow,Variety,Type,TOS,Plotname,subset
51,V41,41,11,6,1,41,1,Dash,TL,5,V41 (Dash),
52,V26,26,12,6,1,26,1,CSIROW003,TL,5,V26 (CSIROW003),
53,V21,21,13,6,2,21,1,Compass,TL,5,V21 (Compass),
54,V2,2,14,6,2,2,1,Beaufort,Control,5,V2 (Beaufort),
55,V58,58,15,6,1,58,1,Grenade CL Plus,TL,5,V58 (Grenade CL Plus),
56,V8,8,16,6,2,8,2,Alestar,TL,5,V8 (Alestar),
57,V36,36,17,6,1,36,2,CSIROW077,TL,5,V36 (CSIROW077),
58,V77,77,18,6,1,77,2,Rosella,TL,5,V77 (Rosella),
59,V17,17,19,6,2,17,2,Capstan,TL,5,V17 (Capstan),
60,V73,73,20,6,1,73,2,Oxford,TL,5,V73 (Oxford),
61,V95,95,11,7,2,95,1,Yitpi,TL,5,V95 (Yitpi),
62,V44,44,12,7,1,44,1,EGA_Gregory,TL,5,V44 (EGA_Gregory),
63,V88,88,13,7,1,88,1,Sunstate,TL,5,V88 (Sunstate),
64,V55,55,14,7,1,55,1,Gairdner,TL,5,V55 (Gairdner),
65,V94,94,15,7,2,94,1,Wyalkatchem,TL,5,V94 (Wyalkatchem),
66,V1,1,16,7,2,1,2,RGT Planet,Control,5,V1 (RGT Planet),
67,V71,71,17,7,1,71,2,Navigator,TL,5,V71 (Navigator),
68,V14,14,18,7,2,14,2,Bolac,TL,5,V14 (Bolac),
69,V48,48,19,7,1,48,2,Ellison,TL,5,V48 (Ellison),
70,V4,4,20,7,1,4,2,Spartacus CL,Control,5,V4 (Spartacus CL),
71,V12,12,11,8,2,12,1,Baudin,TL,5,V12 (Baudin),
72,V29,29,12,8,1,29,1,CSIROW011,TL,5,V29 (CSIROW011),
73,V10,10,13,8,2,10,1,Banks,TL,5,V10 (Banks),
74,V23,23,14,8,1,23,1,CSIROB1,TL,5,V23 (CSIROB1),
75,V47,47,15,8,1,47,1,EGA_Wills,TL,5,V47 (EGA_Wills),
76,V30,30,16,8,1,30,2,CSIROW018,TL,5,V30 (CSIROW018),
77,V19,19,17,8,2,19,2,Catalina,TL,5,V19 (Catalina),
78,V51,51,18,8,1,51,2,Fleet,TL,5,V51 (Fleet),
79,V16,16,19,8,2,16,2,Calingiri,TL,5,V16 (Calingiri),
80,V74,74,20,8,1,74,2,Peake,TL,5,V74 (Peake),
81,V24,24,11,9,1,24,1,CSIROB3,TL,5,V24 (CSIROB3),
82,V3,3,12,9,1,3,1,Lancer,Control,5,V3 (Lancer),
83,V42,42,13,9,1,42,1,Derrimut,TL,5,V42 (Derrimut),
84,V8,8,14,9,2,8,1,Alestar,TL,5,V8 (Alestar),
85,V67,67,15,9,1,67,1,Mace,TL,5,V67 (Mace),
86,V9,9,16,9,2,9,2,Axe,TL,5,V9 (Axe),
87,V83,83,17,9,1,83,2,Stirling,TL,5,V83 (Stirling),
88,V11,11,18,9,2,11,2,Bass,TL,5,V11 (Bass),
